Sales_Perf,Creativity,Mechanical,Abstract,Maths,Type,Level,Expertise
96,9,12,9,20,1,1,4
91.8,7,10,10,15,0,1,4
100.3,8,12,9,26,1,1,2
103.8,13,14,12,29,0,2,2
107.8,10,15,12,32,1,2,2
97.5,10,14,11,21,0,1,4
99.5,9,12,9,25,0,1,1
122,18,20,12,51,1,3,3
108.3,10,17,13,31,1,2,1
120.5,14,18,11,39,0,3,3
109.8,12,17,12,32,1,2,1
111.8,10,18,10,31,1,2,1
112.5,16,17,11,34,0,3,1
105.5,8,10,11,34,1,2,1
93.5,7,9,15,16,0,1,4
105.3,11,12,11,32,0,2,2
110.8,11,14,11,35,1,2,2
104.3,5,14,13,30,0,2,2
105.3,17,17,11,27,0,2,2
95.3,10,12,12,15,1,1,4
115,5,11,11,42,0,3,3
92.5,9,9,13,16,0,1,4
114,12,15,12,37,0,3,1
121,16,19,12,39,0,3,3
102,10,15,11,23,0,2,2
118,14,16,12,39,0,3,3
120,10,16,11,49,0,3,3
90.8,8,10,13,17,0,1,4
121,9,17,11,44,1,3,3
92.8,13,11,13,10,1,1,4
103.3,7,15,11,27,0,2,2
94.5,10,12,11,19,1,1,4
121.5,18,17,10,42,1,3,3
115.5,8,13,14,47,0,3,3
99.5,18,16,10,18,1,1,1
99.8,13,12,14,28,1,1,2
122.3,15,19,12,41,1,3,3
119,14,20,12,37,1,3,3
109.3,9,17,13,32,1,2,1
102.5,13,15,11,23,0,2,2
113.8,17,20,10,32,1,3,1
90.1,1,5,9,15,1,1,4
101.8,7,16,11,24,0,2,2
112,18,13,12,37,1,3,1
89.8,8,8,8,9,0,1,4
105.6,11,13,11,36,0,2,1
100,13,9,9,27,1,1,3
112,6,19,13,13,1,3,4
