Share_Price,Profit,RD,Turnover,Competition,Sector,Type
880,161.3,152.6,320.9,1,3,0
862,170.5,118.3,306.3,1,3,0
850,140.7,110.6,279.5,1,3,0
840,115.7,87.2,193.2,1,3,0
838,107.9,75.1,182.4,1,3,0
825,138.8,116.2,265.2,1,3,1
808,102,91.3,212,1,3,1
806,102.7,100.4,170.3,1,3,1
801,109.9,113.5,237.6,1,3,1
799,135.2,102.4,323.3,1,2,0
783,142.7,120.2,264.3,1,2,0
777,114.9,110,202.7,0,2,0
767,110.4,77.6,188.2,0,2,1
746,98.9,76.7,239.4,0,2,1
742,126.8,110.6,241.8,1,2,1
739,130.1,102.5,280.7,1,3,1
738,103.2,102,231.2,0,3,1
737,100.4,71.2,201.4,0,3,1
734,90.2,80.2,181.9,1,3,1
706,80.6,97,113.3,1,2,1
701,85.4,105.7,162.8,1,1,1
692,91.7,69.6,175.9,1,1,1
689,137.8,126.8,304.2,1,1,1
683,112.8,135.2,271.1,1,1,1
661,89.3,103,194.5,1,1,1
658,65.8,101.7,134.5,1,1,1
652,85.3,69.7,136.7,1,3,1
646,93.4,100.2,214,1,2,1
608,74.3,108.2,162,1,2,1
602,69.8,63.6,155.8,1,3,1
595,49.8,60.7,101.8,0,3,0
594,85.9,89.9,144.9,0,3,0
589,106.2,104.9,232.5,0,3,0
587,103.1,101.9,187.7,0,3,0
574,105,88.7,211.5,0,3,0
569,85.8,97.9,186,0,2,1
549,45.7,91.4,79,0,2,0
537,70.4,65.6,163.5,0,2,0
528,91.7,122,218.7,0,2,0
527,94.6,86.7,189.6,0,2,0
527,104.5,87,215.9,0,2,0
517,56.8,67.5,79.8,0,1,0
513,50.9,48.8,92.5,0,1,0
504,63.7,102.2,123.4,0,1,0
503,71.7,103.9,109.5,0,1,0
496,88.4,107.8,140.7,0,1,0
494,37.5,87.5,34.5,0,1,0
475,84.9,84.5,171.1,0,1,0
468,27.3,43.6,30.3,0,2,0
449,37.6,39.6,94.3,0,2,1
443,28.9,88.6,64.5,0,2,1
433,60.7,77.9,126.4,0,2,1
416,62.8,87.1,114.8,0,1,0
396,49.1,85.5,89.3,1,1,0
368,47.3,76,91.1,1,1,0
353,29.8,44.9,92.5,1,1,1
304,11.8,44.3,32.2,1,2,0
240,38.6,96.6,137.9,1,1,1
148,3.9,39.2,46.6,0,1,1
101,2.9,57.2,59.8,0,1,1
