ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
1,3,1,26,2,3,,2,1,1,51.70000076,1,1,2
2,3,0,21,2,1,19764,3,1,1,52.83000183,2,1,2
3,5,1,47,2,2,23256,3,1,1,58.40999985,2,1,1
4,3,0,39,3,4,17676,3,0,1,31.63999939,1,1,3
5,4,1,,2,5,16680,4,1,1,61.15999985,1,1,1
6,2,0,25,3,2,14616,4,1,1,58.20000076,1,1,3
7,4,0,36,2,2,32784,2,0,1,64.22000122,2,1,1
8,1,1,,2,2,13116,4,1,1,53.65000153,1,1,1
9,4,1,31,2,1,19032,3,1,1,59.27000046,2,1,2
10,4,1,74,4,0,18252,2,1,1,49.02000046,2,1,1
11,5,1,26,1,0,12360,4,0,1,2.890000105,1,1,1
12,3,1,18,1,0,12840,4,1,0,49.91999817,3,1,3
13,5,0,19,1,0,,4,0,1,29.80999947,1,1,2
14,2,0,29,2,2,13356,4,0,1,39.47999954,1,0,0
15,5,0,41,2,1,12636,5,1,1,71.69000244,3,1,2
16,5,1,35,2,3,10464,4,1,1,58.58000183,1,1,4
17,1,0,,3,2,13200,4,1,1,54.41999817,1,1,2
18,3,0,21,1,0,11856,4,1,1,30.39999962,1,1,3
19,2,0,27,2,3,12744,4,0,1,34.34999847,1,1,2
20,1,0,,2,3,16116,5,1,1,59.79999924,3,1,1
21,5,0,39,2,6,12588,5,1,1,73.52999878,3,1,1
22,1,0,39,2,4,18480,3,1,1,76.34999847,3,1,1
23,4,0,55,2,2,16068,4,1,1,46.38999939,1,0,0
24,5,0,,2,3,23736,3,0,1,30.13999939,2,1,2
25,2,0,20,2,2,7692,5,0,1,38.83000183,1,1,3
26,3,0,60,2,0,31944,2,0,1,40.61999893,2,1,3
27,5,0,17,1,0,14712,4,0,1,36.52000046,1,1,2
28,3,0,23,1,0,16608,4,0,1,43.97999954,1,1,3
29,3,0,28,2,4,10176,4,0,1,55.08000183,3,1,2
30,2,1,28,2,4,,4,1,1,50.34000015,1,1,2
31,5,1,21,1,0,14928,4,1,0,29.05999947,1,1,3
32,5,0,50,4,2,29184,2,1,1,40.90999985,2,1,2
33,5,1,50,2,5,30792,2,1,1,57.06000137,2,1,1
34,2,1,32,2,4,13284,4,1,1,56.88999939,3,1,1
35,5,1,52,4,2,18132,3,0,0,18.78000069,1,1,2
36,4,0,34,1,1,17208,4,1,1,63.54000092,3,1,2
37,3,0,,2,2,11928,4,1,1,67.87000275,3,1,3
38,2,0,53,3,0,25140,3,0,1,19.45999908,1,1,4
39,5,0,,2,2,14724,4,1,1,82.13999939,3,1,2
40,5,0,44,1,4,,2,1,1,79.04000092,2,1,1
41,2,1,35,2,5,18948,3,1,1,79.26000214,2,1,1
42,5,0,49,3,4,17484,4,1,1,58.29999924,1,1,3
43,1,0,29,3,2,15960,4,0,1,54.50999832,1,1,3
44,5,0,32,2,1,14340,4,1,1,81.09999847,1,1,2
45,5,0,34,2,2,29484,2,1,1,31.94000053,2,1,2
46,5,0,,3,1,13560,4,1,1,44.72000122,1,1,1
47,1,0,17,1,0,11556,5,1,1,16.31999969,1,1,2
48,1,0,24,3,2,14040,4,1,1,61.38000107,3,1,2
49,5,0,33,2,4,,5,0,1,11.71000004,1,1,2
50,2,0,24,1,0,15396,3,1,1,39.90999985,1,1,3
51,5,0,20,2,2,12480,3,1,1,51.33000183,2,1,2
52,3,1,15,1,0,,5,1,0,43.75999832,1,1,1
53,3,0,19,1,0,10368,4,1,0,49.43000031,1,1,1
54,2,1,30,1,0,22380,3,1,1,40.54000092,1,1,2
55,2,0,31,2,2,9396,5,1,1,42.70999908,1,1,2
56,2,1,,2,4,17316,4,0,1,20.46999931,1,1,1
57,4,1,37,1,0,14532,4,1,1,39.52999878,1,1,3
58,4,0,56,4,1,14352,4,1,0,44.61000061,1,1,2
59,3,0,30,1,1,10296,4,1,1,41.06000137,1,1,3
60,5,1,50,2,4,13668,5,0,1,46.65000153,3,1,4
61,2,1,22,2,2,16752,4,1,1,56.88000107,1,1,3
62,5,1,,2,2,13548,5,1,1,30.57999992,1,1,4
63,2,1,30,2,1,11676,4,0,1,30.20000076,1,1,3
64,2,0,23,1,1,,5,1,1,34.25,1,1,4
65,5,1,38,1,0,19968,3,1,1,43.15999985,1,1,2
66,3,0,20,2,2,11292,4,1,1,83.45999908,3,1,2
67,3,1,53,2,4,20076,3,1,1,73.55000305,2,1,3
68,2,0,39,2,1,18000,3,0,1,20.03000069,2,1,3
69,1,0,25,1,1,11472,4,0,1,24.34000015,1,1,1
70,2,1,33,1,0,17532,4,1,1,42.56000137,1,1,1
71,2,0,29,1,1,11676,4,0,1,55.81999969,1,1,1
72,5,0,23,1,1,9936,5,0,1,48.41999817,1,1,3
73,5,1,,1,0,22416,3,1,1,33.40000153,2,1,2
74,1,1,49,2,3,20088,3,1,1,57.5,1,1,3
75,3,1,28,2,2,16824,4,1,1,74.41999817,3,1,2
76,4,0,43,2,4,22860,3,1,1,39.65999985,2,1,2
77,4,0,28,2,3,14448,4,1,1,52.90000153,1,1,3
78,3,0,17,1,0,9852,4,1,1,34.11999893,1,1,3
79,3,1,20,1,0,15780,4,1,1,16.56999969,1,1,1
80,3,1,27,1,0,12888,4,1,1,68.48999786,1,1,2
81,3,0,31,2,2,13692,3,1,1,77.59999847,3,0,0
82,2,0,20,2,1,16296,4,1,1,45.81999969,1,1,2
83,3,1,20,2,1,20880,3,0,1,23.09000015,2,1,5
84,5,0,34,1,2,13260,4,1,0,71.11000061,1,1,1
85,4,0,23,1,1,6024,5,1,1,37.29999924,1,0,0
86,3,0,66,4,4,6456,3,1,1,49.25999832,2,1,2
87,4,0,19,1,1,10032,5,0,1,27.85000038,1,1,3
88,3,0,47,2,1,16152,4,1,1,63.90000153,1,1,3
89,2,0,32,1,2,13236,3,1,1,45.31000137,2,1,2
90,1,0,40,1,3,21996,3,1,1,71.30000305,1,1,2
91,3,0,29,2,4,7776,5,1,1,48.86000061,1,1,2
92,3,0,48,4,2,20796,3,1,1,63.47000122,1,1,2
93,3,0,47,2,3,20232,3,1,1,64.73999786,2,1,1
94,2,0,26,2,1,17796,4,0,1,44.18000031,1,1,1
95,4,1,19,1,0,12636,4,0,1,44.68999863,1,0,0
96,4,1,23,2,1,12564,4,1,1,54.81000137,1,1,2
97,2,0,19,1,1,11004,4,1,1,49.31000137,1,1,3
